NomeComp;percentage20_Donald_Trump;percentage20_Joe_Biden;cases;deaths;TotalPop;IncomePerCap;Poverty;ChildPoverty;Unemployment;population_density_per_sqmi;percent_no_highschool_diploma;percent_age_65_and_older;percent_rural;percent_smokers;percent_adults_with_obesity;percent_physically_inactive;percent_excessive_drinking;life_expectancy;percent_adults_with_diabetes;percent_food_insecure;violent_crime_rate;homicide_rate
Iowa Winnebago;0.623;0.359;544;20;10545;26558;10.1;12.8;7;264177000000000;9;20.3;6612368857;15165127173;39.8;28.4;20867527064;79946677359;7.2;10.5;11420957457;NA
Iowa Winneshiek;0.518;0.467;544;9;20575;29052;8;7.9;2;301354000000000;5.6;18.1;5898081307;14016352085;33.2;27.4;23842599454;82718996361;5.7;9.5;43243243243;NA
Iowa Woodbury;0.57;0.414;7729;100;102397;25699;14;19.3;4.8;117340000000000;14.3;13.7;1745683749;18502301039;35.4;26.4;18774198587;77695047588;9.2;10.6;35514793765;25095747247
Iowa Worth;0.62;0.362;161;0;7502;26781;10.1;14.8;6.2;188992000000000;7.7;19.8;100;14871467552;32.6;26.8;20767219081;78492526125;17;10;92709092113;NA
Iowa Wright;0.663;0.32;803;1;12864;28200;12.6;21.3;5.8;222097000000000;10;21.1;56799455741;1605251113;36.5;27.7;18450133709;79766022106;7.1;10.3;74175287917;NA
Kansas Allen;0.711;0.267;112;1;12752;23011;14.2;18.2;3.6;258863000000000;9.6;19.7;57153541246;18646171971;38.3;30.7;16379736336;76567721511;17.3;14.3;31864961461;NA
Kansas Anderson;0.773;0.206;203;0;7840;21887;13.6;21.9;4.2;135565000000000;9.1;20.7;58824981486;17219215168;35.3;26.7;1617620987;76119989166;12.2;13.9;23748268355;NA
Kansas Atchison;0.66;0.316;537;6;16466;25494;18.5;24.7;6.3;384000000000000;7.4;16.1;34152682581;16833097032;43.4;32.7;1773646293;7693974274;11.3;16.1;28835938686;NA
Kansas Barber;0.861;0.123;57;0;4905;28840;15.9;24.8;2.5;425985000000000;7.6;21.1;100;16698919432;27.5;27.2;1594660026;76274491336;10.7;13.5;29680365297;NA
Kansas Barton;0.774;0.21;803;7;27067;26264;15.7;21.7;4.2;303931000000000;13.2;17.5;31755438318;1734203224;39.1;27.5;16680265093;78335384402;12.6;12.5;36398049065;NA
Kansas Bourbon;0.75;0.23;306;3;14757;20707;17.6;26;2.2;232127000000000;9.5;18.1;47966783102;18779734489;34.8;31.5;15050037006;75808180682;12.1;15.4;52165018752;NA
